PK_VDID,PK_AuthorityCode,SubAuthorityCode,BiDirectional,VDType,LocationType,DetectionType,PositionLon,PositionLat,RoadID,RoadName,RoadClass,RoadSectionStart,RoadSectionEnd,LocationMile,LayoutMapURL,PK_SrcUpdateTime
V045602,KHH,NULL,0,2,1,4,120.31595,22.59626,619218E,中山三路,6,NULL,NULL,NULL,NULL,2021-07-28 00:12:50
V094601,KHH,NULL,0,2,1,4,120.32406,22.6037,620500E,凱旋四路,6,NULL,NULL,NULL,NULL,2021-07-28 00:12:50
V094602,KHH,NULL,0,2,1,4,120.30774,22.59301,620500E,凱旋四路,6,NULL,NULL,NULL,NULL,2021-07-28 00:12:50
V094621,KHH,NULL,0,2,1,4,120.30798,22.59284,620500E,凱旋四路,6,NULL,NULL,NULL,NULL,2021-07-28 00:12:50
V094641,KHH,NULL,0,2,1,4,120.32382,22.60334,620500E,凱旋四路,6,NULL,NULL,NULL,NULL,2021-07-28 00:12:50
V094642,KHH,NULL,0,2,1,4,120.30807,22.5924,620500E,凱旋四路,6,NULL,NULL,NULL,NULL,2021-07-28 00:12:50
V094663,KHH,NULL,0,2,1,4,120.31093,22.59397,620500E,凱旋四路,6,凱旋一路,中正一路,34K+4,http://localhost:8180/TNC_WEB/tnc,2021-07-28 00:12:50
V094664,KHH,NULL,0,2,1,4,120.31115,22.59375,620500E,凱旋四路,6,NULL,NULL,NULL,NULL,2021-07-28 00:12:50
V094665,KHH,NULL,0,2,1,4,120.31132,22.59342,621124E,鎮興路,6,NULL,NULL,NULL,NULL,2021-07-28 00:12:50
V094666,KHH,NULL,0,2,1,4,120.31096,22.59365,620500E,凱旋四路,6,NULL,NULL,NULL,NULL,2021-07-28 00:12:50
V094667,KHH,NULL,0,2,1,4,120.31571,22.59581,620500E,凱旋四路,6,NULL,NULL,NULL,NULL,2021-07-28 00:12:50
V094669,KHH,NULL,0,2,1,4,120.30779,22.5926,621103E,擴建一路,6,NULL,NULL,NULL,NULL,2021-07-28 00:12:50
V287722,KHH,NULL,0,2,1,4,120.32429,22.60326,620361E,班超路,6,NULL,NULL,NULL,NULL,2021-07-28 00:12:50
V287762,KHH,NULL,0,2,1,4,120.32363,22.60371,621150E,籬仔內路,6,NULL,NULL,NULL,NULL,2021-07-28 00:12:50
